bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1020670043,40.82922,-73.94243,632000,737000,1100000,1526000,1502000,3
1020670040,40.82904,-73.9418,1400000,1610000,1615000,1663000,1414000,3
1020730038,40.82341,-73.94968,608000,699000,594000,612000,620000,3
1020730039,40.82338,-73.94972,612000,704000,1056000,1267000,1277000,3
1021270036,40.84211,-73.93684,2150000,2040000,2046000,2064000,2080000,19
1021270037,40.84194,-73.93666,262000,332000,407000,371000,439000,19
1021270035,40.842,-73.93693,448000,434000,473000,422000,452000,19
1020730032,40.82309,-73.94956,1030000,1010000,881000,1059000,1013000,3
1021270039,40.84188,-73.93652,710000,646000,701000,900000,932000,19
1020730034,40.82322,-73.94946,956000,880000,1094000,1274000,1219000,3
1020730035,40.82327,-73.94941,1170000,5740000,2890000,1486000,1421000,3
1020730036,40.82333,-73.94936,723000,783000,814000,1198000,1146000,3
1020730037,40.82344,-73.9496,489000,529000,727000,810000,775000,3
1012250046,40.79254,-73.96938,4400000,5060000,4340000,5049000,4298000,17
1012250045,40.79248,-73.96929,7410000,7470000,7492000,7557000,7615000,17
1012250044,40.79247,-73.96922,3670000,3710000,3154000,3249000,3304000,17
1014180045,40.76428,-73.96402,34400000,37000000,37783000,37300000,38429000,13
1005480045,40.73041,-73.99436,19500000,19600000,21566000,18132000,19811000,22
1004670035,40.7307,-73.98655,11400000,12000000,11913000,13929000,12999000,0
1012250049,40.79263,-73.9696,5290000,4890000,4157000,4150000,4475000,17
1012250048,40.79262,-73.96954,3740000,4300000,3846000,4615000,3966000,17
1004450022,40.72542,-73.98818,2310000,2730000,2613000,2358000,2555000,0
1017490009,40.80558,-73.94179,620000,645000,436000,469000,466000,26
1004450020,40.72551,-73.98837,2890000,3360000,3923000,4127000,4362000,0
1004450026,40.72522,-73.98797,2910000,3330000,3266000,3362000,3476000,0
1004450025,40.72538,-73.988,1630000,1780000,2002000,2050000,2123000,0
1017490001,40.80574,-73.94245,384000,430000,400000,316000,316000,26
1017490003,40.80587,-73.94236,209000,209000,224000,259000,1269000,26
1017490004,40.80591,-73.94232,768000,768000,316000,250000,250000,26
1017490005,40.80568,-73.94214,851000,851000,351000,277000,317000,26
1017490006,40.80565,-73.94208,449000,377000,351000,277000,277000,26
1017490007,40.80563,-73.94201,851000,851000,351000,277000,277000,26
1014520124,40.77126,-73.95389,2310000,2310000,887000,1102000,1091000,13
1014520123,40.77131,-73.95398,1680000,1410000,2115000,3172500,3550000,13
1004610011,40.72794,-73.99039,1800000,1950000,2186000,1970000,2087000,0
1004610012,40.72791,-73.99026,3290000,3000000,3066000,3401000,3648000,0
1004610017,40.72775,-73.98991,2060000,2530000,2181000,2584000,2567000,0
1004610016,40.72781,-73.98997,2130000,2720000,3701000,3260000,3912000,0
1006030070,40.73123,-74.00694,2120000,2220000,2635000,3015000,2930000,22
1004920002,40.72164,-73.9943,3730000,5720000,5264000,3623000,3672000,20
